,tot_bytes,out_size,f1
153,27.0,12.0,0.7647954043684223
154,27.0,14.0,0.7743825774584644
155,27.0,18.0,0.774299291591499
156,28.0,8.0,0.7702484424275055
157,28.0,10.0,0.7129397784662396
158,28.0,14.0,0.7743637527083309
159,28.0,16.0,0.7245858836622009
160,28.0,20.0,0.7580563295662892
161,29.0,8.0,0.7702484424275055
162,29.0,10.0,0.7129397784662396
163,29.0,12.0,0.7647954043684223
164,30.0,8.0,0.7702484424275055
165,30.0,10.0,0.7129397784662396
166,30.0,12.0,0.7648036010931889
167,30.0,14.0,0.7743825774584644
168,30.0,16.0,0.7244844450627655
169,30.0,18.0,0.7743638823801194
170,30.0,20.0,0.7579649500766458
171,31.0,8.0,0.7702484424275055
172,32.0,8.0,0.7702484424275055
173,32.0,10.0,0.7129397784662396
174,32.0,12.0,0.7648036010931889
175,32.0,14.0,0.7743775118435529
176,32.0,16.0,0.7244497233903674
177,32.0,18.0,0.7744164044795494
178,33.0,10.0,0.7129397784662396
179,33.0,12.0,0.7648036010931889
180,33.0,20.0,0.7580421318640345
181,34.0,10.0,0.7129397784662396
182,34.0,14.0,0.7743912706698548
183,34.0,16.0,0.7245117448766654
184,34.0,18.0,0.7744029218600456
185,35.0,10.0,0.7129397784662396
186,35.0,12.0,0.7648036010931889
187,35.0,14.0,0.7743775118435529
188,35.0,20.0,0.7580235917936184
189,36.0,12.0,0.7648036010931889
190,36.0,16.0,0.7245039916101277
191,36.0,18.0,0.7744029218600456
192,37.0,10.0,0.7129397784662396
193,37.0,14.0,0.7743775118435529
194,38.0,10.0,0.7129397784662396
195,38.0,12.0,0.7648036010931889
196,38.0,16.0,0.7245039916101277
197,38.0,20.0,0.7580185796990379
198,39.0,10.0,0.7129397784662396
199,39.0,12.0,0.7648036010931889
200,39.0,14.0,0.7743775118435529
201,39.0,18.0,0.7743944027634155
202,40.0,10.0,0.7129397784662396
203,40.0,16.0,0.7244807328061296
204,40.0,20.0,0.7579928538138885
205,41.0,12.0,0.7648036010931889
206,41.0,14.0,0.7743775118435529
207,41.0,18.0,0.7743944027634155
208,42.0,12.0,0.7648036010931889
209,42.0,14.0,0.7743775118435529
210,42.0,16.0,0.7244962385095294
211,43.0,18.0,0.774385883854218
212,43.0,20.0,0.7580057168896807
213,44.0,12.0,0.7648036010931889
214,44.0,14.0,0.7743775118435529
215,44.0,16.0,0.7245117448766654
216,45.0,12.0,0.7648036010931889
217,45.0,18.0,0.774385883854218
218,45.0,20.0,0.7580057168896807
219,46.0,14.0,0.7743775118435529
220,46.0,16.0,0.7245039916101277
221,47.0,12.0,0.7648036010931889
222,48.0,12.0,0.7648036010931889
223,48.0,14.0,0.7743775118435529
224,48.0,16.0,0.7245039916101277
225,48.0,18.0,0.774385883854218
226,48.0,20.0,0.7580185796990379
227,49.0,14.0,0.7743775118435529
228,50.0,16.0,0.7245039916101277
229,50.0,18.0,0.774385883854218
230,50.0,20.0,0.7580185796990379
231,51.0,14.0,0.7743775118435529
232,52.0,16.0,0.7245039916101277
233,52.0,18.0,0.774385883854218
234,53.0,14.0,0.7743775118435529
235,53.0,20.0,0.7580185796990379
236,54.0,16.0,0.7245039916101277
237,54.0,18.0,0.774385883854218
238,55.0,14.0,0.7743775118435529
239,55.0,20.0,0.7580185796990379
240,56.0,14.0,0.7743775118435529
241,56.0,16.0,0.7245039916101277
242,57.0,18.0,0.774385883854218
243,58.0,16.0,0.7245039916101277
244,58.0,20.0,0.7580185796990379
245,59.0,18.0,0.774385883854218
246,60.0,16.0,0.7245039916101277
247,60.0,20.0,0.7580185796990379
248,61.0,18.0,0.774385883854218
249,62.0,16.0,0.7245039916101277
250,63.0,18.0,0.774385883854218
251,63.0,20.0,0.7580185796990379
252,64.0,16.0,0.7245039916101277
253,65.0,20.0,0.7580185796990379
254,66.0,18.0,0.774385883854218
255,68.0,18.0,0.774385883854218
256,68.0,20.0,0.7580185796990379
257,70.0,18.0,0.774385883854218
258,70.0,20.0,0.7580185796990379
259,72.0,18.0,0.774385883854218
260,73.0,20.0,0.7580185796990379
261,75.0,20.0,0.7580185796990379
262,78.0,20.0,0.7580185796990379
263,80.0,20.0,0.7580185796990379
